observation_date,SWERECM
2/1/1960,0
3/1/1960,0
4/1/1960,0
5/1/1960,0
6/1/1960,0
7/1/1960,0
8/1/1960,0
9/1/1960,0
10/1/1960,0
11/1/1960,0
12/1/1960,0
1/1/1961,0
2/1/1961,1
3/1/1961,1
4/1/1961,1
5/1/1961,1
6/1/1961,1
7/1/1961,1
8/1/1961,1
9/1/1961,1
10/1/1961,1
11/1/1961,1
12/1/1961,1
1/1/1962,1
2/1/1962,1
3/1/1962,1
4/1/1962,1
5/1/1962,1
6/1/1962,1
7/1/1962,1
8/1/1962,1
9/1/1962,1
10/1/1962,1
11/1/1962,1
12/1/1962,1
1/1/1963,1
2/1/1963,1
3/1/1963,0
4/1/1963,0
5/1/1963,0
6/1/1963,0
7/1/1963,0
8/1/1963,0
9/1/1963,0
10/1/1963,0
11/1/1963,0
12/1/1963,0
1/1/1964,0
2/1/1964,0
3/1/1964,0
4/1/1964,0
5/1/1964,0
6/1/1964,0
7/1/1964,0
8/1/1964,0
9/1/1964,0
10/1/1964,0
11/1/1964,0
12/1/1964,1
1/1/1965,1
2/1/1965,1
3/1/1965,1
4/1/1965,1
5/1/1965,1
6/1/1965,1
7/1/1965,1
8/1/1965,1
9/1/1965,1
10/1/1965,1
11/1/1965,1
12/1/1965,1
1/1/1966,1
2/1/1966,1
3/1/1966,1
4/1/1966,1
5/1/1966,1
6/1/1966,1
7/1/1966,1
8/1/1966,1
9/1/1966,1
10/1/1966,1
11/1/1966,1
12/1/1966,1
1/1/1967,1
2/1/1967,1
3/1/1967,1
4/1/1967,1
5/1/1967,1
6/1/1967,1
7/1/1967,1
8/1/1967,1
9/1/1967,1
10/1/1967,1
11/1/1967,1
12/1/1967,1
1/1/1968,0
2/1/1968,0
3/1/1968,0
4/1/1968,0
5/1/1968,0
6/1/1968,0
7/1/1968,0
8/1/1968,0
9/1/1968,0
10/1/1968,0
11/1/1968,0
12/1/1968,0
1/1/1969,0
2/1/1969,0
3/1/1969,0
4/1/1969,0
